teamName,opp_avg_points_allowed
76ers,105.1783071647717
Blackhawks,88.70422535211267
Bobcats,98.65529010238907
Braves,109.6858407079646
Bucks,104.07254090281884
Bullets,107.559552086868
Bulls,102.28387096774193
Cavaliers,102.33533429931691
Celtics,103.20549338758902
Clippers,105.46299483648882
Grizzlies,101.73650434126085
Hawks,104.13945844420097
Heat,99.07820250948352
Hornets,102.18573264781492
Jazz,102.64703296703297
Jerusalem B.C.,123.0
Kings,106.76518485915493
Knicks,103.0327969348659
Lakers,104.57598607888632
Loong-Lions,131.66666666666666
Magic,101.8410950283197
Mavericks,103.9607648373479
Nationals,101.20812685827552
Nets,104.00352526439482
Nuggets,108.0598898577329
Pacers,103.11575342465754
Packers,119.4125
Pelicans,110.38981481481481
Phoenix,127.0
Pistons,103.24483502929387
Raptors,102.04436090225563
Rockets,104.87824738270648
Royals,106.85860306643953
Spurs,102.36436525612473
Suns,106.61344372166371
SuperSonics,104.434648754548
Thunder,105.16749072929542
Timberwolves,103.37556125721616
Trail Blazers,104.49825210775242
United,107.0
Warriors,107.09644670050761
Wizards,104.24427168576105
Zephyrs,114.025
